Format :

name
found in file
CRC (hex)		Hash Code (dec)

Data directory = D:\Games\Freelancer\bini_decompiler\DATA\

thunder         AUDIO\ambience_sounds.ini       0xf0295456		2405170754
audio\sounds\fx\lightning1.wav      AUDIO\ambience_sounds.ini       0x06220e09		2934779457
discharge_mine01        AUDIO\ambience_sounds.ini       0x19e040fa		2635528396
audio\sounds\ambiences\discharge_mine01.wav         AUDIO\ambience_sounds.ini       0xe76b935f		2820043527
discharge_mine02        AUDIO\ambience_sounds.ini       0x02e91140		3172369612
audio\sounds\ambiences\discharge_mine02.wav         AUDIO\ambience_sounds.ini       0xeb9309af		2954260679
nebula_discharge_thunder01      AUDIO\ambience_sounds.ini       0xe40a0bd5		2289551055
audio\sounds\ambiences\nebula_discharge_thunder01.wav       AUDIO\ambience_sounds.ini       0xffa5247d		2818572742
nebula_discharge_thunder02      AUDIO\ambience_sounds.ini       0xff035a6f		2826418895
audio\sounds\ambiences\nebula_discharge_thunder02.wav       AUDIO\ambience_sounds.ini       0xf35dbe8d		2952790534
nebula_discharge_energy01       AUDIO\ambience_sounds.ini       0x06d5d35c		3123639876
audio\sounds\ambiences\nebula_discharge_energy01.wav        AUDIO\ambience_sounds.ini       0xfcb68d60		2212024000
nebula_discharge_energy02       AUDIO\ambience_sounds.ini       0x1ddc82e6		2586741316
audio\sounds\ambiences\nebula_discharge_energy02.wav        AUDIO\ambience_sounds.ini       0xf04e1790		2614676736
zone_field_asteroid_ice         AUDIO\ambience_sounds.ini       0x1501704f		2383180495
audio\sounds\ambiences\zone_field_asteroid_ice.wav      AUDIO\ambience_sounds.ini       0xf3271d97		3093931471
zone_field_asteroid_lava        AUDIO\ambience_sounds.ini       0x1fd8f07a		2789076490
audio\sounds\ambiences\zone_field_asteroid_lava.wav         AUDIO\ambience_sounds.ini       0xf990a816		2151313800
zone_field_asteroid_mine        AUDIO\ambience_sounds.ini       0x1a338e99		2232774603
audio\sounds\ambiences\zone_field_asteroid_mine.wav         AUDIO\ambience_sounds.ini       0xf6fff5f0		2867094665
zone_field_asteroid_rock        AUDIO\ambience_sounds.ini       0x1416c4c2		2633534413
audio\sounds\ambiences\zone_field_asteroid_rock.wav         AUDIO\ambience_sounds.ini       0x026dacb7		2774374922
zone_field_debris       AUDIO\ambience_sounds.ini       0xe31c4dfb		3165131968
audio\sounds\ambiences\zone_field_debris.wav        AUDIO\ambience_sounds.ini       0x068f6025		3206178188
zone_field_ice      AUDIO\ambience_sounds.ini       0x0de7ddb2		2694092747
audio\sounds\ambiences\zone_field_ice.wav       AUDIO\ambience_sounds.ini       0xf57bbfe4		2679507778
zone_field_mine         AUDIO\ambience_sounds.ini       0x0f27e695		2649170690
audio\sounds\ambiences\zone_field_mine.wav      AUDIO\ambience_sounds.ini       0x1df589d4		2505647554
zone_field_mine_asteroid        AUDIO\ambience_sounds.ini       0x0a997996		2178880204
audio\sounds\ambiences\zone_field_mine_asteroid.wav         AUDIO\ambience_sounds.ini       0xe924807e		2416919178
zone_nebula_barrier         AUDIO\ambience_sounds.ini       0x0761274e		2404804099
audio\sounds\ambiences\zone_nebula_barrier.wav      AUDIO\ambience_sounds.ini       0xefc84ab2		3211696386
zone_nebula_crow        AUDIO\ambience_sounds.ini       0xe48a5db4		3048254346
audio\sounds\ambiences\zone_nebula_crow.wav         AUDIO\ambience_sounds.ini       0xe2908d8a		2805152907
zone_nebula_dmatter         AUDIO\ambience_sounds.ini       0x1b7b7b90		3166285006
